athlete_id,name,country_id
272,Mike RIDDLE,4
273,Kevin ROLLAND,8
274,Dara HOWELL,4
275,Devin LOGAN,3
276,Kim LAMARRE,4
277,Maddie BOWMAN,3
278,Alexandre BILODEAU,4
279,Aleksandr SMYSHLIAEV,9
280,Chloe DUFOUR-LAPOINTE,4
281,Hannah KEARNEY,3
282,Joss CHRISTENSEN,3
283,Gus KENWORTHY,3
284,Anna HOLMLUND,7
285,Evan LYSACEK,3
286,Evgeni Viktorovich PLUSHENKO,9
287,Joannie ROCHETTE,4
288,Mike Schmid,10
289,Andreas MATT,6
290,Audun GROENVOLD,1
291,Bryon WILSON,3
292,Jennifer HEIL,4
293,Shannon BAHRKE,3
294,Jeret PETERSON,3
295,Ashleigh MCIVOR,4
296,Hedda BERNTSEN,1
297,Marion JOSSERAND,8
298,Stephanie BECKERT,2
299,Clara HUGHES,4
300,Christine NESBITT,4
301,Annette GERRITSEN,5
302,Laurine VAN RIESSEN,5
303,Jenny WOLF,2
304,Mark TUITERT,5
305,Shani DAVIS,3
306,Havard BOKKO,1
307,Kristina GROVES,4
308,Chad HEDRICK,3
309,Ivan SKOBREV,9
310,Silvan ZURBRIGGEN,10
311,Andrea FISCHBACHER,6
312,Elisabeth GOERGL,6
313,Didier DEFAGO,10
314,Carlo JANKA,10
315,Anja PAERSON,7
316,David MOLLER,2
317,Nina REITHMAYER,6
318,Jason LAMY CHAPPUIS,8
319,Johnny SPILLANE,3
320,William Michael DEMONG,3
321,Bernhard GRUBER,6
322,Jon MONTGOMERY,4
323,Kerstin SZYMKOWIAK,2
324,Anja HUBER,2
325,Katherine REUTTER,3
326,Apolo Anton OHNO,3
327,J R CELSKI,3
328,Marianne ST GELAIS,4
329,Simon AMMANN,10
330,Gregor SCHLIERENZAUER,6
331,Petter NORTHUG JR.,1
332,Axel TEICHMANN,2
333,Anna HAAG,7
334,Nikita KRIUKOV,9
335,Aleksandr Panzhinsky,9
336,Tobias ANGERER,2
337,Seth WESCOTT,3
338,Mike ROBERTSON,4
339,Tony RAMOIN,8
340,Maeelle Danica RICKER,4
341,Deborah ANTHONIOZ,8
342,Olivia NOBS,10
343,Scott LAGO,3
344,Nicolien SAUERBREIJ,5
345,Ekaterina ILYUKHINA,9
346,Marion KREINER,6
347,Hannah TETER,3
348,Jasey Jay ANDERSON,4
349,Mathieu BOZZETTO,8
350,Magdalena NEUNER,2
351,Olga ZAYTSEVA,9
352,Simone HAUSWALD,2
353,Marie DORIN HABERT,8
354,Marie Laure BRUNET,8
355,Vincent JAY,8
356,Evgeny USTYUGOV,9
357,Bjorn FERRY,7
358,Christoph SUMANN,6
359,Daeheon HWANG,11
360,Minjeong CHOI,11
361,Min Seok KIM,11
362,Jaewon CHUNG,11
363,Seung Hoon LEE,11
364,Min Kyu CHA,11
365,Sungbin YUN,11
366,Bo Reum KIM,11
367,Sang-Hwa LEE,11
368,Tae-Yun KIM,11
369,Sangho LEE,11
370,Yira SEO,11
371,Hyojun LIM,11
372,Seung-Hi PARK,11
373,Suk Hee SHIM,11
374,Yuna KIM,11
375,Tae-Bum MO,11
376,Si-Baek Seong,11
377,Jung-Su LEE,11
378,Eun-Byeol Lee,11
379,Ho-Suk LEE,11
